Open,High,Low,Close,Volume,Date,Ticker,Industry
GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,
171.7322094406985,173.17055534541237,165.73911166521458,166.81787109375,166.81787109375,2025-03-03,TSLA,Unknown
166.04876455679425,173.09064211021553,165.60926829005186,170.72337341308594,170.72337341308594,2025-03-04,TSLA,Unknown
170.32384453302183,173.58008886593674,168.86551735545183,172.8209686279297,172.8209686279297,2025-03-05,TSLA,Unknown
170.33381982392953,174.60889486138916,170.30385555544734,172.1517333984375,172.1517333984375,2025-03-06,TSLA,Unknown
171.06298843219486,174.76872740179581,170.07413701655315,173.66000366210938,173.66000366210938,2025-03-07,TSLA,Unknown
168.25999450683594,168.4600067138672,163.69000244140625,165.8699951171875,165.8699951171875,2025-03-10,TSLA,Unknown
164.91000366210938,166.75,161.3699951171875,164.0399932861328,164.0399932861328,2025-03-11,TSLA,Unknown
166.5800018310547,167.63999938964844,163.52999877929688,167.11000061035156,167.11000061035156,2025-03-12,TSLA,Unknown
166.0399932861328,166.1300048828125,162.11000061035156,162.75999450683594,162.75999450683594,2025-03-13,TSLA,Unknown
163.27000427246094,166.49000549316406,162.4499969482422,165.49000549316406,165.49000549316406,2025-03-14,TSLA,Unknown
165.02999877929688,166.3000030517578,163.6699981689453,164.2899932861328,164.2899932861328,2025-03-17,TSLA,Unknown
163.67999267578125,164.25,156.72000122070312,160.6699981689453,160.6699981689453,2025-03-18,TSLA,Unknown
161.75999450683594,165.8699951171875,161.0,163.88999938964844,163.88999938964844,2025-03-19,TSLA,Unknown
161.57000732421875,164.88999938964844,160.9600067138672,162.8000030517578,162.8000030517578,2025-03-20,TSLA,Unknown
161.2100067138672,164.24000549316406,160.88999938964844,163.99000549316406,163.99000549316406,2025-03-21,TSLA,Unknown
167.07000732421875,168.32000732421875,165.13999938964844,167.67999267578125,167.67999267578125,2025-03-24,TSLA,Unknown
168.97999572753906,170.6300048828125,168.32000732421875,170.55999755859375,170.55999755859375,2025-03-25,TSLA,Unknown
169.0,169.61000061035156,164.83999633789062,165.05999755859375,165.05999755859375,2025-03-26,TSLA,Unknown
164.6300048828125,165.4199981689453,162.0,162.24000549316406,162.24000549316406,2025-03-27,TSLA,Unknown
160.49000549316406,161.82000732421875,153.6300048828125,154.3300018310547,154.3300018310547,2025-03-28,TSLA,Unknown
153.11000061035156,155.5399932861328,150.66000366210938,154.63999938964844,154.63999938964844,2025-03-31,TSLA,Unknown
171.7322094406985,173.17055534541237,165.73911166521458,166.81787109375,166.81787109375,2025-03-03,META,Unknown
166.04876455679425,173.09064211021553,165.60926829005186,170.72337341308594,170.72337341308594,2025-03-04,META,Unknown
170.32384453302183,173.58008886593674,168.86551735545183,172.8209686279297,172.8209686279297,2025-03-05,META,Unknown
170.33381982392953,174.60889486138916,170.30385555544734,172.1517333984375,172.1517333984375,2025-03-06,META,Unknown
171.06298843219486,174.76872740179581,170.07413701655315,173.66000366210938,173.66000366210938,2025-03-07,META,Unknown
168.25999450683594,168.4600067138672,163.69000244140625,165.8699951171875,165.8699951171875,2025-03-10,META,Unknown
164.91000366210938,166.75,161.3699951171875,164.0399932861328,164.0399932861328,2025-03-11,META,Unknown
166.5800018310547,167.63999938964844,163.52999877929688,167.11000061035156,167.11000061035156,2025-03-12,META,Unknown
166.0399932861328,166.1300048828125,162.11000061035156,162.75999450683594,162.75999450683594,2025-03-13,META,Unknown
163.27000427246094,166.49000549316406,162.4499969482422,165.49000549316406,165.49000549316406,2025-03-14,META,Unknown
165.02999877929688,166.3000030517578,163.6699981689453,164.2899932861328,164.2899932861328,2025-03-17,META,Unknown
163.67999267578125,164.25,156.72000122070312,160.6699981689453,160.6699981689453,2025-03-18,META,Unknown
161.75999450683594,165.8699951171875,161.0,163.88999938964844,163.88999938964844,2025-03-19,META,Unknown
161.57000732421875,164.88999938964844,160.9600067138672,162.8000030517578,162.8000030517578,2025-03-20,META,Unknown
161.2100067138672,164.24000549316406,160.88999938964844,163.99000549316406,163.99000549316406,2025-03-21,META,Unknown
167.07000732421875,168.32000732421875,165.13999938964844,167.67999267578125,167.67999267578125,2025-03-24,META,Unknown
168.97999572753906,170.6300048828125,168.32000732421875,170.55999755859375,170.55999755859375,2025-03-25,META,Unknown
169.0,169.61000061035156,164.83999633789062,165.05999755859375,165.05999755859375,2025-03-26,META,Unknown
164.6300048828125,165.4199981689453,162.0,162.24000549316406,162.24000549316406,2025-03-27,META,Unknown
160.49000549316406,161.82000732421875,153.6300048828125,154.3300018310547,154.3300018310547,2025-03-28,META,Unknown
153.11000061035156,155.5399932861328,150.66000366210938,154.63999938964844,154.63999938964844,2025-03-31,META,Unknown
171.7322094406985,173.17055534541237,165.73911166521458,166.81787109375,166.81787109375,2025-03-03,AMZN,Unknown
166.04876455679425,173.09064211021553,165.60926829005186,170.72337341308594,170.72337341308594,2025-03-04,AMZN,Unknown
170.32384453302183,173.58008886593674,168.86551735545183,172.8209686279297,172.8209686279297,2025-03-05,AMZN,Unknown
170.33381982392953,174.60889486138916,170.30385555544734,172.1517333984375,172.1517333984375,2025-03-06,AMZN,Unknown
171.06298843219486,174.76872740179581,170.07413701655315,173.66000366210938,173.66000366210938,2025-03-07,AMZN,Unknown
168.25999450683594,168.4600067138672,163.69000244140625,165.8699951171875,165.8699951171875,2025-03-10,AMZN,Unknown
164.91000366210938,166.75,161.3699951171875,164.0399932861328,164.0399932861328,2025-03-11,AMZN,Unknown
166.5800018310547,167.63999938964844,163.52999877929688,167.11000061035156,167.11000061035156,2025-03-12,AMZN,Unknown
166.0399932861328,166.1300048828125,162.11000061035156,162.75999450683594,162.75999450683594,2025-03-13,AMZN,Unknown
163.27000427246094,166.49000549316406,162.4499969482422,165.49000549316406,165.49000549316406,2025-03-14,AMZN,Unknown
